Unnamed: 0,char,dialog,movie,dialog_length,word_count,sentiment,confidence,dominant_topic,topic_label
327,DENETHOR,Rohan has deserted us!  ,The Return of the King ,24.0,4.0,NEGATIVE,0.9957463145256042,Topic 4,Journey & Quest
328,DENETHOR,"Theoden's betrayed me! ABANDON YOUR POSTS! ,FLEE! FLEE FOR YOUR LIVES! ",The Return of the King ,71.0,11.0,NEGATIVE,0.9957489967346193,Topic 4,Journey & Quest
329,GANDALF,Prepare for battle. Hurry men! To the wall! Defend the wall! Over here!     Return to your posts. ,The Return of the King ,98.0,17.0,NEGATIVE,0.9875507950782776,Topic 5,Fear & Danger
330,GANDALF,Send these foul beasts into the Abyss.  ,The Return of the King ,40.0,7.0,NEGATIVE,0.9973247051239014,Topic 7,Death & Sacrifice
331,GOTHMOG,Stay where you are! ,The Return of the King ,20.0,4.0,POSITIVE,0.9978010058403016,Topic 6,Hope & Courage
332,SOLDIER,We need more rubble! ,The Return of the King ,21.0,4.0,NEGATIVE,0.998920440673828,Topic 3,The Ring & Power
333,EOMER,None who venture there ever return.  That mountain is evil.   ,The Return of the King ,62.0,10.0,NEGATIVE,0.999382257461548,Topic 3,The Ring & Power
334,GIMLI,"Aragorn!  ,      Let's find some food.   ",The Return of the King ,41.0,6.0,NEGATIVE,0.9739683270454408,Topic 5,Fear & Danger
335,EOWYN,There.  A true esquire of Rohan.   ,The Return of the King ,35.0,6.0,POSITIVE,0.9996381998062134,Topic 5,Fear & Danger
336,MERRY,"I'm ready!  , Sorry.  It isn't all that dangerous.  It's not     even sharp.   ",The Return of the King ,79.0,13.0,NEGATIVE,0.9994452595710754,Topic 7,Death & Sacrifice
337,EOWYN,"To the smithy, go!   ",The Return of the King ,21.0,4.0,POSITIVE,0.9990382194519044,Topic 1,War & Battle
338,EOMER,     You should not encourage him. ,The Return of the King ,35.0,5.0,NEGATIVE,0.99893981218338,Topic 1,War & Battle
339,EOWYN,You should not doubt him.   ,The Return of the King ,28.0,5.0,POSITIVE,0.998163878917694,Topic 7,Death & Sacrifice
340,EOMER,"I do not doubt his heart, only the reach of his arm.      ",The Return of the King ,58.0,12.0,POSITIVE,0.9982662796974182,Topic 7,Death & Sacrifice
341,EOWYN,Why should Merry be left behind?  He has as much cause to go to war as     you.  Why can he not fight for those he loves?   ,The Return of the King ,124.0,26.0,NEGATIVE,0.9902252554893494,Topic 6,Hope & Courage
342,EOMER,"You know as little of war as that Hobbit.   When the fear takes him    , and the blood and the     screams and the horror of battle take hold.  Do you think he would stand and     fight?  He would flee.  And he would be right to do so.     ,  War is the     province of men Eowyn.   ",The Return of the King ,283.0,55.0,NEGATIVE,0.9871093034744264,Topic 6,Hope & Courage
343,SOLDIER,Sir?  King Theoden awaits you my lord.   ,The Return of the King ,41.0,7.0,POSITIVE,0.9990293979644777,Topic 4,Journey & Quest
344,SOLDIER,Watch out!  ,The Return of the King ,12.0,2.0,POSITIVE,0.9998095631599426,Topic 6,Hope & Courage
345,SOLDIER,Down to the lower levels quick!  ,The Return of the King ,33.0,6.0,NEGATIVE,0.9028611183166504,Topic 3,The Ring & Power
346,SOLDIER,Double up men!  ,The Return of the King ,16.0,3.0,POSITIVE,0.9993380904197692,Topic 5,Fear & Danger
347,GANDALF,"Hold them back, do not give in to fear. Stand to your posts. Fight!  ",The Return of the King ,69.0,14.0,POSITIVE,0.9940022826194764,Topic 6,Hope & Courage
348,GANDALF,"Not at the towers! Aim for the trolls, kill the trolls! ",The Return of the King ,56.0,11.0,NEGATIVE,0.9980095028877258,Topic 1,War & Battle
349,GANDALF,Bring them down!  ,The Return of the King ,18.0,3.0,NEGATIVE,0.974717378616333,Topic 8,Home & Peace
350,GANDALF,"Fight them back! ,Peregrin Took! Go back to the Citadel. ",The Return of the King ,57.0,10.0,NEGATIVE,0.9563753008842468,Topic 4,Journey & Quest
351,PIPPIN,They called us out to fight.  ,The Return of the King ,30.0,6.0,POSITIVE,0.9696915745735168,Topic 6,Hope & Courage
352,GANDALF,This is no place for a Hobbit!  ,The Return of the King ,32.0,7.0,NEGATIVE,0.9997311234474182,Topic 5,Fear & Danger
353,GANDALF,"Guard of the Citadel indeed! , Now back up the hill     quickly. Quick!  ",The Return of the King ,73.0,13.0,POSITIVE,0.8844830393791199,Topic 2,Friendship & Loyalty
354,GOTHMOG,What are you doing you useless scum?  ,The Return of the King ,38.0,7.0,NEGATIVE,0.9993863105773926,Topic 5,Fear & Danger
355,ORC,The door wont give. It's too strong.  ,The Return of the King ,38.0,7.0,POSITIVE,0.6981796026229858,Topic 7,Death & Sacrifice
356,THEODEN,I take my leave.  ,The Return of the King ,18.0,4.0,NEGATIVE,0.9887274503707886,Topic 7,Death & Sacrifice
357,ARAGORN, My lord Elrond ,The Return of the King ,16.0,3.0,POSITIVE,0.990151584148407,Topic 1,War & Battle
358,ELROND,I come on behalf of one whom I love.  Arwen is dying.  She will not long     survive the evil that now spreads from Mordor.  The light of the evenstar is     failing.  As Sauron's power grows her strength wanes.  Arwen's life is now     tied to the fate of the Ring.  The Shadow is upon us Aragorn.  The end has     come. ,The Return of the King ,322.0,59.0,NEGATIVE,0.9976054430007936,Topic 6,Hope & Courage
359,ARAGORN,"It will not be our end, but his.   ",The Return of the King ,35.0,8.0,NEGATIVE,0.8375943303108215,Topic 6,Hope & Courage
360,ELROND,"  You ride to war     but not to victory.  Sauron's armies ride on Minas Tirith, this you know.      But in secret he sends another force, which will attack, from the river.    , A fleet of Corsair ships sails from the South.  They will be     in the city in two days.  You're outnumbered Aragorn.  You need more men. ",The Return of the King ,318.0,56.0,POSITIVE,0.9139637351036072,Topic 6,Hope & Courage
361,ARAGORN,There are none. ,The Return of the King ,16.0,3.0,NEGATIVE,0.983027458190918,Topic 1,War & Battle
362,ELROND, There are those that dwell in the mountain.   ,The Return of the King ,47.0,8.0,POSITIVE,0.9940133690834044,Topic 3,The Ring & Power
363,ARAGORN,"Murderers, traitors. You would call upon them to fight?  They believe in     nothing.  They answer to no one ",The Return of the King ,109.0,18.0,NEGATIVE,0.9955820441246032,Topic 4,Journey & Quest
364,ELROND,"They will answer to the King of Gondor.  , And'ril, the Flame of the West, forged from the shards of     Narsil.   ",The Return of the King ,115.0,21.0,POSITIVE,0.9924349188804626,Topic 4,Journey & Quest
365,ARAGORN,Sauron will not have forgotten the sword of Elendil.   ,The Return of the King ,55.0,9.0,POSITIVE,0.9976425766944884,Topic 3,The Ring & Power
366,ARAGORN,The blade that was broken shall return to Minas Tirith.   ,The Return of the King ,58.0,10.0,NEGATIVE,0.921879768371582,Topic 4,Journey & Quest
367,ELROND,The man who can wield the power of this sword can summon to him an army     more deadly than any that walks this earth.  Put aside the Ranger.  Become     who you were born to be 'nen i-Estel Edain.  ,The Return of the King ,200.0,38.0,NEGATIVE,0.953046977519989,Topic 3,The Ring & Power
368,ARAGORN, '-chebin Estel anim.   ,The Return of the King ,24.0,3.0,NEGATIVE,0.8521001935005188,Topic 1,War & Battle
369,EOWYN,Why are you doing this?  The war lies to the East.  You cannot leave on     the eve of battle.  You cannot abandon the men.   ,The Return of the King ,126.0,24.0,POSITIVE,0.9294684529304504,Topic 3,The Ring & Power
370,PIPPIN,What were you thinking Peregrin Took?  What service can a Hobbit offer     such a great lord of men?    ,The Return of the King ,104.0,18.0,NEGATIVE,0.99184650182724,Topic 8,Home & Peace
371,FARAMIR," ,  It was     well done.  A generous deed should not be checked with cold counsel.     ,     You are to join the tower guard. ",The Return of the King ,127.0,23.0,POSITIVE,0.99757319688797,Topic 2,Friendship & Loyalty
372,PIPPIN,I didn't think they would find any livery that would  fit me.  ,The Return of the King ,63.0,12.0,NEGATIVE,0.9997050166130066,Topic 8,Home & Peace
373,FARAMIR,It once belonged to a young boy of the city.  A very foolish one who     wasted many hours slaying dragons instead of attending his studies.   ,The Return of the King ,143.0,25.0,NEGATIVE,0.998342752456665,Topic 1,War & Battle
374,PIPPIN,This was yours?   ,The Return of the King ,18.0,3.0,NEGATIVE,0.9866589307785034,Topic 1,War & Battle
375,FARAMIR,"Yes, it was mine.  My father had it made for me.   ",The Return of the King ,51.0,11.0,POSITIVE,0.9966270923614502,Topic 8,Home & Peace
376,GOTHMOG,Get back there and smash it down! ,The Return of the King ,34.0,7.0,NEGATIVE,0.9926693439483644,Topic 1,War & Battle
377,ORC,But nothing can breach it!  ,The Return of the King ,28.0,5.0,POSITIVE,0.9959718585014344,Topic 1,War & Battle
378,GOTHMOG,"Grond will breach it! , Bring out the wolf's head. ",The Return of the King ,51.0,10.0,NEGATIVE,0.9505959153175354,Topic 1,War & Battle
379,ORCS,"Grond, Grond, Grond, Grond,     Grond! ",The Return of the King ,39.0,5.0,POSITIVE,0.9388132691383362,Topic 1,War & Battle
380,ORCS,"Grond, Grond, Grond, Grond!  ",The Return of the King ,29.0,4.0,POSITIVE,0.9690912365913392,Topic 1,War & Battle
381,ARAGORN,Eowyn' ,The Return of the King ,7.0,1.0,POSITIVE,0.6271764636039734,Topic 3,The Ring & Power
382,EOWYN,We need you here.   ,The Return of the King ,20.0,4.0,POSITIVE,0.9881196022033693,Topic 3,The Ring & Power
383,ARAGORN,Why have you come? ,The Return of the King ,19.0,4.0,NEGATIVE,0.9672819972038268,Topic 5,Fear & Danger
384,EOWYN,Do you not know? ,The Return of the King ,17.0,4.0,NEGATIVE,0.9913707971572876,Topic 8,Home & Peace
385,ARAGORN,It is but a shadow and a thought that you love.  I cannot give you what     you seek.  ,The Return of the King ,87.0,18.0,POSITIVE,0.9936621189117432,Topic 7,Death & Sacrifice
386,ARAGORN, I have wished you joy since first I saw you.  ,The Return of the King ,47.0,10.0,POSITIVE,0.9998260140419006,Topic 5,Fear & Danger
387,GIMLI, Just where do you     think you're off to? ,The Return of the King ,44.0,8.0,POSITIVE,0.9312624335289,Topic 3,The Ring & Power
388,ARAGORN,Not this time.  This time you must stay Gimli.  ,The Return of the King ,48.0,9.0,NEGATIVE,0.9931334853172302,Topic 5,Fear & Danger
389,GIMLI, Hmmmm ,The Return of the King ,7.0,1.0,NEGATIVE,0.9742409586906432,Topic 1,War & Battle
390,LEGOLAS, Have you learnt nothing of the stubbornness of     dwarves?   ,The Return of the King ,63.0,9.0,NEGATIVE,0.9910036325454712,Topic 1,War & Battle
391,GIMLI,You might as well accept it.  We're going with you laddie.  Aragorn     smiles. ,The Return of the King ,80.0,13.0,POSITIVE,0.99977308511734,Topic 7,Death & Sacrifice
392,SOLDIER,"What's happening, where is he going?  I don't understand.  (, Lord Aragorn!  Why does     he leave on the eve of battle?   ",The Return of the King ,123.0,21.0,NEGATIVE,0.9972387552261353,Topic 7,Death & Sacrifice
393,GAMLING,He leaves because there is no hope. ,The Return of the King ,36.0,7.0,NEGATIVE,0.999218225479126,Topic 7,Death & Sacrifice
394,THEODEN,He leaves because he must.   ,The Return of the King ,29.0,5.0,NEGATIVE,0.996428906917572,Topic 1,War & Battle
395,PIPPIN,"Well, I'm taller than you were then.  Though, I'm not likely to grow     anymore, except sideways.   ",The Return of the King ,101.0,16.0,NEGATIVE,0.9295141696929932,Topic 3,The Ring & Power
396,FARAMIR,"It never fitted me either.  Boromir was always the soldier.     ,  They were so alike he and     my father.  Proud, stubborn even, but strong.   ",The Return of the King ,145.0,24.0,POSITIVE,0.999138355255127,Topic 7,Death & Sacrifice
397,PIPPIN,I think you have strength of a different kind.  And one day your father     will see it.   ,The Return of the King ,91.0,17.0,POSITIVE,0.9998074173927308,Topic 8,Home & Peace
398,PIPPIN,"Here do I swear fealty and service to Gondor in peace or war, in living     or dying, from , ' from this hour henceforth     until my lord release me or death take me. ",The Return of the King ,168.0,33.0,NEGATIVE,0.6226202845573425,Topic 5,Fear & Danger
399,DENETHOR,"And I shall not forget it! ,  nor fail to reward  that which is given.     ,      Fealty with love.  ,      Valour with honour.  Disloyalty with vengeance.      ,      I do not think we should so lightly abandon the outer defences.  Defences     that your brother long held intact.   ",The Return of the King ,284.0,46.0,POSITIVE,0.9974574446678162,Topic 4,Journey & Quest
400,FARAMIR,What would you have me do? ,The Return of the King ,27.0,6.0,NEGATIVE,0.9926400184631348,Topic 1,War & Battle
401,DENETHOR,I will not yield the River and Pellenor unfought.  Osgiliath must be     retaken.   ,The Return of the King ,84.0,13.0,NEGATIVE,0.9968457818031312,Topic 2,Friendship & Loyalty
402,FARAMIR,My lord Osgiliath is over run.   ,The Return of the King ,33.0,6.0,NEGATIVE,0.9996932744979858,Topic 2,Friendship & Loyalty
403,DENETHOR,Much must be risked in war.    Is there a Captain here who still has the     courage to do his lord's will?   ,The Return of the King ,110.0,21.0,NEGATIVE,0.9881171584129332,Topic 5,Fear & Danger
404,FARAMIR,You wish now that our places had been exchanged.  That I had died and     Boromir had lived.   ,The Return of the King ,95.0,17.0,NEGATIVE,0.9945909976959229,Topic 7,Death & Sacrifice
405,DENETHOR,"Yes, I wish that.   ",The Return of the King ,20.0,4.0,POSITIVE,0.9965983033180236,Topic 7,Death & Sacrifice
406,GAMLING,To few have come.  We cannot defeat the armies of Mordor.   ,The Return of the King ,60.0,11.0,NEGATIVE,0.9206504821777344,Topic 6,Hope & Courage
407,THEODEN," No, we cannot.  But we will meet them in battle nonetheless.      ",The Return of the King ,67.0,11.0,POSITIVE,0.998388171195984,Topic 3,The Ring & Power
408,THEODEN,"I have left instruction. , The people are to follow your rule in     my stead.     Take up my seat in the Golden Hall. Long may you defend Edoras, if the     battle goes ill.  ",The Return of the King ,176.0,33.0,POSITIVE,0.506687343120575,Topic 5,Fear & Danger
409,EOWYN,What other duty would you have me do my lord? ,The Return of the King ,46.0,10.0,NEGATIVE,0.9866781234741212,Topic 4,Journey & Quest
410,THEODEN,"Duty? ,     no. , I     would have you smile again, not grieve for those whose time has come. You     shall live to see these days renewed , ' and no more despair ",The Return of the King ,163.0,32.0,POSITIVE,0.9928343296051024,Topic 5,Fear & Danger
411,FARAMIR,"Since you are robbed of Boromir I will do what I can in his stead.     ,     If I should return, think better of me father.  ",The Return of the King ,125.0,25.0,POSITIVE,0.8674789071083069,Topic 4,Journey & Quest
412,DENETHOR,That will depend on the manner of your return.   ,The Return of the King ,49.0,9.0,NEGATIVE,0.9815215468406676,Topic 4,Journey & Quest
413,GOLLUM, Ech!  ,The Return of the King ,7.0,1.0,POSITIVE,0.9955612421035768,Topic 1,War & Battle
414,SAM,What are you up to?  Sneaking off are we?   ,The Return of the King ,44.0,9.0,NEGATIVE,0.9692367315292358,Topic 1,War & Battle
415,GOLLUM,"Sneaking?  Sneaking?  Fat Hobbit is always so polite.  Smeagol shows     them secret ways that nobody else could find and they say 'sneak!'  Sneak?      Very nice friend, oh yes my precious very nice , very nice! ",The Return of the King ,213.0,35.0,POSITIVE,0.9979974627494812,Topic 1,War & Battle
416,SAM,Alright!  Alright!  You just startled me is all.  What were you doing?      ,The Return of the King ,76.0,12.0,POSITIVE,0.9881798028945924,Topic 3,The Ring & Power
417,GOLLUM,Sneaking. ,The Return of the King ,10.0,1.0,NEGATIVE,0.993485391139984,Topic 1,War & Battle
418,SAM,"Fine, have it your own way.  ,  I'm sorry to wake you Mr Frodo but we have to be     moving on.  ",The Return of the King ,97.0,21.0,NEGATIVE,0.908758282661438,Topic 6,Hope & Courage
419,FRODO,It's dark still.   ,The Return of the King ,19.0,3.0,NEGATIVE,0.9778147339820862,Topic 6,Hope & Courage
420,SAM,"It's always dark here.  ,  It's gone!     , The elven bread!     ",The Return of the King ,65.0,11.0,NEGATIVE,0.99902081489563,Topic 2,Friendship & Loyalty
421,FRODO,What?  That's all we have left!   ,The Return of the King ,34.0,6.0,NEGATIVE,0.9982153177261353,Topic 5,Fear & Danger
422,MADRIL,We can't hold them.  The city is lost. ,The Return of the King ,39.0,8.0,NEGATIVE,0.999657154083252,Topic 7,Death & Sacrifice
423,FARAMIR, Tell the men to break cover.  We ride for Minas Tirith. ,The Return of the King ,57.0,11.0,POSITIVE,0.8719051480293274,Topic 5,Fear & Danger
424,DAMROD,Nazg'l! ,The Return of the King ,8.0,1.0,POSITIVE,0.988248348236084,Topic 6,Hope & Courage
425,FARAMIR, Take cover!  Nazgul!  Fall     back.  Fall back to Minas Tirith!   ,The Return of the King ,68.0,10.0,NEGATIVE,0.9850503206253052,Topic 5,Fear & Danger
426,SAM,He took it.  He must have.  ,The Return of the King ,28.0,6.0,POSITIVE,0.6953229308128357,Topic 8,Home & Peace
427,GOLLUM,"Smeagol?  No, no, not poor Smeagol.  Smeagol hates nasty elf bread.      ",The Return of the King ,73.0,11.0,NEGATIVE,0.9970595240592957,Topic 2,Friendship & Loyalty
428,SAM,You're a lying rat!  What did you do with it?   ,The Return of the King ,48.0,10.0,NEGATIVE,0.9936937689781188,Topic 7,Death & Sacrifice
429,FRODO,"  He doesn't     eat it. , He can't have taken     it.   ",The Return of the King ,57.0,10.0,NEGATIVE,0.9889647960662842,Topic 5,Fear & Danger
430,GOLLUM," Look, what's this?  ,  Crumbs on his jacketses.  He took it! ,He took it! ,  I've seen him, he's always stuffing his face when master's     not looking. ",The Return of the King ,154.0,27.0,NEGATIVE,0.9991193413734436,Topic 8,Home & Peace
431,SAM,"That's a filthy lie!  ,      You stinking, two faced sneak!   ",The Return of the King ,62.0,10.0,NEGATIVE,0.9993601441383362,Topic 2,Friendship & Loyalty
432,FRODO,Sam!   ,The Return of the King ,7.0,1.0,POSITIVE,0.9991631507873536,Topic 3,The Ring & Power
433,SAM,Call me' ,The Return of the King ,9.0,2.0,POSITIVE,0.9822736382484436,Topic 1,War & Battle
434,FRODO,Stop it!   ,The Return of the King ,11.0,2.0,NEGATIVE,0.9987967014312744,Topic 5,Fear & Danger
435,SAM, I'll kill him! ,The Return of the King ,16.0,3.0,NEGATIVE,0.99619859457016,Topic 1,War & Battle
436,FRODO," Sam, no!   ",The Return of the King ,12.0,2.0,NEGATIVE,0.9969373941421508,Topic 3,The Ring & Power
437,SAM," Oh my!   I'm sorry.  I didn't mean it to go so far.  I was just     so, so angry!  Here just' let's just rest a bit. ",The Return of the King ,118.0,25.0,NEGATIVE,0.99940824508667,Topic 2,Friendship & Loyalty
438,FRODO, I'm all right.   ,The Return of the King ,18.0,3.0,POSITIVE,0.9998294115066528,Topic 2,Friendship & Loyalty
439,SAM,"No.  No you're not all right, you're exhausted.  It's that Gollum.  It's     this place.  It's that thing around your neck.  , I could help a bit.  I could carry it for     a while ,,     carry it for a while ,      I could carry it' I could carry it' Share the load' share the load' share     the load  ",The Return of the King ,304.0,57.0,NEGATIVE,0.9957066178321838,Topic 2,Friendship & Loyalty
440,FRODO,Get away! ,The Return of the King ,10.0,2.0,NEGATIVE,0.9764068126678468,Topic 4,Journey & Quest
441,FARAMIR,"Fall back!  ,  Retreat!  Retreat!  Run for your lives!   ",The Return of the King ,57.0,9.0,NEGATIVE,0.9995483756065368,Topic 5,Fear & Danger
442,GOTHMOG,The age of men is over.  The time of the Orc has come. ,The Return of the King ,55.0,13.0,NEGATIVE,0.9888866543769836,Topic 5,Fear & Danger
443,SOLDIERS,"Keep going.  It's the Nazgul.  Take cover my lord.     ,     It's coming.  ",The Return of the King ,75.0,12.0,POSITIVE,0.9638106822967528,Topic 2,Friendship & Loyalty
444,SOLDIERS IN MINAS TIRITH,Its Mithrandir!  The White Rider!   ,The Return of the King ,36.0,5.0,POSITIVE,0.9603269100189208,Topic 4,Journey & Quest
445,SOLDIER, Pull! ,The Return of the King ,7.0,1.0,POSITIVE,0.965221643447876,Topic 7,Death & Sacrifice
446,FARAMIR,"Mithrandir!  ,     They broke through our defences.  They've taken the bridge and the West     bank.  Battalions of Orcs are crossing the river.   ",The Return of the King ,147.0,22.0,POSITIVE,0.9719862937927246,Topic 2,Friendship & Loyalty
447,IROLAS,It is as the Lord Denethor predicted!  Long has he foreseen this doom!      ,The Return of the King ,76.0,13.0,NEGATIVE,0.9870680570602416,Topic 4,Journey & Quest
448,GANDALF, Foreseen and done nothing!   ,The Return of the King ,30.0,4.0,NEGATIVE,0.9930793642997742,Topic 1,War & Battle
449,GANDALF,Faramir?  This is not the first Halfling to have crossed your path. ,The Return of the King ,68.0,12.0,NEGATIVE,0.9976001381874084,Topic 1,War & Battle
450,FARAMIR,No.   ,The Return of the King ,6.0,1.0,NEGATIVE,0.997288942337036,Topic 1,War & Battle
451,PIPPIN,You've seen Frodo and Sam?   ,The Return of the King ,29.0,5.0,POSITIVE,0.9147863984107972,Topic 3,The Ring & Power
452,GANDALF,Where?  When? ,The Return of the King ,14.0,2.0,NEGATIVE,0.995380401611328,Topic 1,War & Battle
453,SAM,"I don't want to keep it.  , I just want to help.   ",The Return of the King ,51.0,12.0,NEGATIVE,0.99765944480896,Topic 4,Journey & Quest
454,GOLLUM,See?  See?  He wants it for himself.   ,The Return of the King ,39.0,7.0,NEGATIVE,0.8795015811920166,Topic 3,The Ring & Power
455,SAM,"Shut up you!  ,  Go away!  Get     out of here! ",The Return of the King ,48.0,10.0,NEGATIVE,0.9632523059844972,Topic 3,The Ring & Power
456,FRODO,"No Sam!  It's you!  ,      I'm sorry Sam.   ",The Return of the King ,44.0,8.0,NEGATIVE,0.9993079900741576,Topic 3,The Ring & Power
457,SAM,  But he's a liar!  He's poisoned     you against me.   ,The Return of the King ,56.0,9.0,NEGATIVE,0.9917810559272766,Topic 1,War & Battle
458,FRODO,You can't help me any more.   ,The Return of the King ,30.0,6.0,NEGATIVE,0.9835385084152222,Topic 7,Death & Sacrifice
459,SAM,You don't mean that.   ,The Return of the King ,23.0,4.0,POSITIVE,0.9922710657119752,Topic 3,The Ring & Power
460,FRODO,Go home.   ,The Return of the King ,11.0,2.0,POSITIVE,0.9997853636741638,Topic 2,Friendship & Loyalty
461,GANDALF,"  Faramir!  Faramir!     , Your     father's will has turned to madness.  Do not throw away your life so     rashly.   ",The Return of the King ,119.0,18.0,NEGATIVE,0.9652503132820128,Topic 1,War & Battle
462,FARAMIR,"Where does my allegiance lie if not here?  This is the city of the men     of N'menor.  I will gladly give my life to defend her beauty, her memory,     her wisdom. ",The Return of the King ,165.0,31.0,POSITIVE,0.9988616704940796,Topic 5,Fear & Danger
463,GANDALF,"Your father loves you Faramir.  ,  He will remember it before the end.   ",The Return of the King ,73.0,13.0,POSITIVE,0.9912028312683104,Topic 1,War & Battle
464,DENETHOR,Can you sing Master Hobbit? ,The Return of the King ,28.0,5.0,POSITIVE,0.949363887310028,Topic 2,Friendship & Loyalty
465,PIPPIN," well, yes.  At least well     enough for my own people.  But we have no songs for great halls and evil     times. ",The Return of the King ,115.0,21.0,NEGATIVE,0.9946408271789552,Topic 5,Fear & Danger
466,GANDALF,"Sauron's wrath will be terrible, his retribution swift.           ",The Two Towers ,66.0,8.0,NEGATIVE,0.9944065809249878,Topic 6,Hope & Courage
467,GANDALF,The battle for Helm's Deep is over. The battle for Middle-earth is about to begin.           ,The Two Towers ,93.0,15.0,POSITIVE,0.7752948999404907,Topic 3,The Ring & Power
468,GANDALF,(looking back out to Mordor) All our hopes now lie with two little Hobbits...           ,The Two Towers ,88.0,14.0,NEGATIVE,0.991904616355896,Topic 2,Friendship & Loyalty
469,FARAMIR,"In Ithilien.  Not two days ago.  Gandalf, they're taking the road to the     Morgul vale.   ",The Return of the King ,92.0,15.0,POSITIVE,0.9187495708465576,Topic 3,The Ring & Power
470,GANDALF,And then the pass of Cirith Ungol. ,The Return of the King ,35.0,7.0,NEGATIVE,0.9394087195396424,Topic 7,Death & Sacrifice
471,PIPPIN,What does that mean? What's wrong?  He looks at Gandalf. ,The Return of the King ,57.0,10.0,NEGATIVE,0.995157778263092,Topic 7,Death & Sacrifice
472,GANDALF,Faramir tell me everything.  Tell me all you know.   ,The Return of the King ,53.0,9.0,NEGATIVE,0.9363581538200378,Topic 7,Death & Sacrifice
473,DENETHOR, This is how you would serve your city?  You would risk its utter     ruin?   ,The Return of the King ,78.0,14.0,NEGATIVE,0.9982818365097046,Topic 1,War & Battle
474,FARAMIR,I did what I judged to be right. ,The Return of the King ,33.0,8.0,POSITIVE,0.9975782036781312,Topic 2,Friendship & Loyalty
475,DENETHOR,"What you judged to be right!  You sent the Ring of power into Mordor in     the hands of a witless Halfling!  It should have been brought back to the     citadel to be kept safe. Hidden.  Dark and deep in the vaults' not to be     used.  ,      unless, at the uttermost end of need. ",The Return of the King ,283.0,53.0,NEGATIVE,0.9991772770881652,Topic 3,The Ring & Power
476,FARAMIR,I would not use the Ring.  Not if Minas Tirith were falling in ruin and     I alone could save her.  ,The Return of the King ,101.0,20.0,NEGATIVE,0.9983515739440918,Topic 5,Fear & Danger
477,DENETHOR,Ever you desire to appear lordly and gracious as a King of old.       Boromir would have remembered his father's need.   He would have brought me     a kingly gift ,The Return of the King ,164.0,28.0,POSITIVE,0.9982776641845704,Topic 3,The Ring & Power
478,FARAMIR, Boromir would not have brought the Ring.   He would have stretched     out his hand to this thing and taking it he would have fallen.   ,The Return of the King ,137.0,24.0,NEGATIVE,0.9972925782203674,Topic 2,Friendship & Loyalty
479,DENETHOR,"And why should your songs be unfit for my halls?  Come, sing me a song.      ",The Return of the King ,77.0,15.0,NEGATIVE,0.9679306745529176,Topic 5,Fear & Danger
480,PIPPIN,"Home is behind, The world ahead, ,  And     there are many paths to tread, Through shadow, to the edge of night    ,      Until the stars are all alight. ,  Mist and shadow     cloud and shade, All shall fade, All shall , 'fade.      ",The Return of the King ,234.0,42.0,NEGATIVE,0.8968771696090698,Topic 2,Friendship & Loyalty
481,ORCS,"March, march!   March, march march!   ",The Return of the King ,38.0,5.0,POSITIVE,0.9981903433799744,Topic 1,War & Battle
482,GANDALF VOICEOVER,...somewhere in the wilderness.           ,The Two Towers ,42.0,4.0,NEGATIVE,0.9004366397857666,Topic 1,War & Battle
483,SAM,I wonder if we'll ever be put into songs or tales.    ,The Two Towers ,54.0,11.0,NEGATIVE,0.983159840106964,Topic 7,Death & Sacrifice
484,FRODO,What?           ,The Two Towers ,16.0,1.0,NEGATIVE,0.9936370849609376,Topic 1,War & Battle
485,SAM,"I wonder if people will ever say,      ""Let's hear about Frodo and the Ring.""      And they'll say,      ""Yes! That's one of my favourite stories.""      ""Frodo was really courageous, wasn't he, Dad? ""      ""Yes, my boy. ,The most famousest of Hobbits.      And that's saying a lot."",     ",The Two Towers ,288.0,45.0,POSITIVE,0.9997414946556092,Topic 7,Death & Sacrifice
486,FRODO,"Well, you've left out one of the chief characters:      ""Samwise the Brave.""      I want to hear more about Sam.           ",The Two Towers ,123.0,19.0,NEGATIVE,0.9881128668785096,Topic 4,Journey & Quest
487,FRODO,Frodo wouldn't have got far      without Sam.           ,The Two Towers ,56.0,7.0,POSITIVE,0.9612616896629332,Topic 4,Journey & Quest
488,SAM,"Now, Mr. Frodo, you shouldn't make fun. I was being serious.            ",The Two Towers ,72.0,11.0,NEGATIVE,0.9969186782836914,Topic 8,Home & Peace
489,FRODO,"So was l. ,     ",The Two Towers ,16.0,4.0,POSITIVE,0.9470864534378052,Topic 1,War & Battle
490,SAM,"""Samwise the Brave.""     ",The Two Towers ,25.0,3.0,POSITIVE,0.99946528673172,Topic 4,Journey & Quest
491,FRODO,Smeagol?           ,The Two Towers ,19.0,1.0,NEGATIVE,0.985566258430481,Topic 2,Friendship & Loyalty
492,SAM,"We're not going to wait for you. Come on.,     ",The Two Towers ,47.0,9.0,POSITIVE,0.9993533492088318,Topic 2,Friendship & Loyalty
493,SMEAGOL,"Master. Master looks after us. ,Master wouldn't hurt us.           ",The Two Towers ,67.0,9.0,POSITIVE,0.9995074272155762,Topic 8,Home & Peace
494,GOLLUM,Master broke his promise.           ,The Two Towers ,36.0,4.0,POSITIVE,0.9923551082611084,Topic 8,Home & Peace
